advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Satronik - Pompy Ciepła		276627982527247	Facebook	d066	2019-03-07	PL	Poland	1	1	347883	139153	80	16
Gazeta Wyborcza		63563473556	Facebook	d066	2019-03-07	PL	Poland	4	1	312497	153249	333	65
European Parliament		178362315106	Facebook	d066	2019-03-07	PL	Poland	5	1	167092	73392	349	65
Kialo		729627343834501	Facebook	d066	2019-03-07	PL	Poland	2	1	52125	26062	231	46
Barbie		166292277066000	Facebook	d066	2019-03-07	PL	Poland	2	1	37441	14975	57	0
Grzegorz Braun		268872956643088	Facebook	d066	2019-03-07	PL	Poland	2	1	24557	12279	28	5
Norbert Kaczmarczyk Poseł na Sejm RP		814991668621838	Facebook	d066	2019-03-07	PL	Poland	3	1	24510	4902	38	6
4szpaki		1638245403115468	Facebook	d066	2019-03-07	PL	Poland	1	1	16526	3305	38	7
chrum.com		233262376748	Facebook	d066	2019-03-07	PL	Poland	14	1	13520	3647	76	0
Sanofi Polska		344102246136108	Facebook	d066	2019-03-07	PL	Poland	2	1	12740	2498	11	0
Jarosław Wałęsa	KKW Koalicja Europejska PO PSL SLD N Zieloni	433052760111334	Facebook	d066	2019-03-07	PL	Poland	1	1	12499	6250	62	12
300Gospodarka		913279165534005	Facebook	d066	2019-03-07	PL	Poland	1	1	9077	4538	10	2
Amnesty International Polska		57544755889	Facebook	d066	2019-03-07	PL	Poland	24	1	6972	2208	13	2
Jacek Wilk		499646073441042	Facebook	d066	2019-03-07	PL	Poland	1	1	6249	1250	2	0
Belvedere Catering by Design		474544179293323	Facebook	d066	2019-03-07	PL	Poland	1	1	6237	1247	2	0
Akcja Demokracja		277892342334350	Facebook	d066	2019-03-07	PL	Poland	3	1	5496	999	34	0
Sambert Sklep Motoryzacyjny		337372473016626	Facebook	d066	2019-03-07	PL	Poland	1	1	4999	1000	23	0
Włodzimierz Cimoszewicz. Europa i Konstytucja.		1945383395767575	Facebook	d066	2019-03-07	PL	Poland	1	1	4166	833	7	0
Stowarzyszenie „Siódemka" w Tarnowie		906156289482839	Facebook	d066	2019-03-07	PL	Poland	1	1	3846	769	8	1
Metalleo.pl		2130415043853644	Facebook	d066	2019-03-07	PL	Poland	1	1	3697	1848	4	0
Stowarzyszenie Emigrant Polski		982054681893463	Facebook	d066	2019-03-07	PL	Poland	1	1	3421	684	6	0
Notebook Master		1146513708789495	Facebook	d066	2019-03-07	PL	Poland	1	1	3333	666	7	1
Strzelin - Federacja dla Rzeczypospolitej		401273810626893	Facebook	d066	2019-03-07	PL	Poland	1	1	3333	666	7	1
Agnieszka Maciąg		1402180540030219	Facebook	d066	2019-03-07	PL	Poland	1	1	3331	1665	7	0
Grzegorz Długi		1709231132633714	Facebook	d066	2019-03-07	PL	Poland	2	1	2999	1200	35	0
TAK dla kary śmierci w Polsce		2092422647455732	Facebook	d066	2019-03-07	PL	Poland	2	1	2912	956	6	0
Liberté!		20194572209	Facebook	d066	2019-03-07	PL	Poland	1	1	2631	526	4	0
Wrocław - Tu żyję, tu oddycham		354842004935437	Facebook	d066	2019-03-07	PL	Poland	2	1	2548	1274	2	0
Krzysztof Hetman	Krzysztof Hetman	1607487699534202	Facebook	d066	2019-03-07	PL	Poland	1	1	2499	1250	24	0
