advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Jaunā Vienotība	Partiju apvienība “Jaunā Vienotība”	164326166970895	Facebook	semigallia_LV	Semigallia, Latvia	6	1	54776	14405	221	0
Ansis Pūpols	Ansis Pūpols	534110743707105	Facebook	semigallia_LV	Semigallia, Latvia	3	1	41217	8243	96	0
Centrālā vēlēšanu komisija	Centrālā vēlēšanu komisija	236758520084700	Facebook	semigallia_LV	Semigallia, Latvia	3	1	36662	7332	72	0
Valdis Dombrovskis	Valdis Dombrovskis	984665731564266	Facebook	semigallia_LV	Semigallia, Latvia	38	1	22170	1284	1687	0
European Parliament	European Parliament	178362315106	Facebook	semigallia_LV	Semigallia, Latvia	2	1	18739	3748	37	0
Jaunā konservatīvā partija	Jaunā konservatīvā partija	595950207185585	Facebook	semigallia_LV	Semigallia, Latvia	1	1	10059	2012	19	0
Finanšu ministrija	Latvijas Republikas Finanšu ministrija	524714174238878	Facebook	semigallia_LV	Semigallia, Latvia	1	1	7725	1545	15	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	semigallia_LV	Semigallia, Latvia	1	1	397	198	0	0
Ringolds Arnitis		448951318909238	Facebook	semigallia_LV	Semigallia, Latvia	1	1	262	0	25	0
Rihards Kols	Rihards Kols	960297957323800	Facebook	semigallia_LV	Semigallia, Latvia	1	1	202	0	20	0
European Commission	European Commission	107898832590939	Facebook	semigallia_LV	Semigallia, Latvia	2	1	91	46	0	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	semigallia_LV	Semigallia, Latvia	2	1	18	4	0	0
