advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	faro_district	Faro District	PT	Portugal	19	1	18223	8564	69	15
European Commission	European Commission	107898832590939	Facebook	faro_district	Faro District	PT	Portugal	27	1	4473	2116	15	3
Partido Socialista Europeu	Partido Socialista Europeu	126509981274614	Facebook	faro_district	Faro District	PT	Portugal	18	1	4305	1847	5	0
Uniarea	Uniarea	413110028708018	Facebook	faro_district	Faro District	PT	Portugal	7	1	1070	486	0	0
Um universitário também chora	Uniarea	1429916380583545	Facebook	faro_district	Faro District	PT	Portugal	6	1	591	238	0	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	faro_district	Faro District	PT	Portugal	10	1	347	170	0	0
Conselho Nacional de Juventude - Portugal	Conselho Nacional de Juventude - Portugal	194732796798	Facebook	faro_district	Faro District	PT	Portugal	12	1	295	117	2	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	faro_district	Faro District	PT	Portugal	21	1	245	82	0	0
Erasmus+ Juventude em Ação	Erasmus+ Juventude em Ação	128362563891037	Facebook	faro_district	Faro District	PT	Portugal	5	1	135	31	0	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	faro_district	Faro District	PT	Portugal	1	1	37	18	0	0
Opinion Podium		581957128631800	Facebook	faro_district	Faro District	PT	Portugal	2	1	28	14	0	0
Sindicato dos Jornalistas	Sindicato dos Jornalistas	906523126046063	Facebook	faro_district	Faro District	PT	Portugal	1	1	18	9	0	0
ALDE Party – Liberals and Democrats for Europe	ALDE Party – Liberals and Democrats for Europe	262681199589	Facebook	faro_district	Faro District	PT	Portugal	3	1	9	4	0	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	faro_district	Faro District	PT	Portugal	5	1	7	3	0	0
Aliança - VFXira e Azambuja		544071142748299	Facebook	faro_district	Faro District	PT	Portugal	1	1	2	0	0	0
Fundação Francisco Manuel dos Santos		197936253581591	Facebook	faro_district	Faro District	PT	Portugal	1	1	1	0	0	0
Europe Thinx		335839580440114	Facebook	faro_district	Faro District	PT	Portugal	1	1	1	0	0	0
نداء الحرب 3: امبراطورية الفولاذ		1896641773933197	Facebook	faro_district	Faro District	PT	Portugal	1	1	0	0	0	0
Big News Buzz		125179374733697	Facebook	faro_district	Faro District	PT	Portugal	1	1	0	0	0	0
ETUC		129041250601685	Facebook	faro_district	Faro District	PT	Portugal	1	1	0	0	0	0
ITUC		20556338116	Facebook	faro_district	Faro District	PT	Portugal	1	1	0	0	0	0
Save The Seas		2203608429682203	Facebook	faro_district	Faro District	PT	Portugal	1	1	0	0	0	0
Eurozine		115579498521257	Facebook	faro_district	Faro District	PT	Portugal	1	1	0	0	0	0
Tom MacDonald		212732770186	Facebook	faro_district	Faro District	PT	Portugal	1	1	0	0	0	0
